typeNameIndex,cityGuid,totalArea,classCount,teacher,student
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13494","16","90",336
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13999.663","34","131","1391"
1,"DLAF12AE1F-84A2-4276-98CD-3A2AA1AE7DA8","3060","12","28","327"
4,"26f989b7-5b5c-4042-85df-31225c9ce4a4","31200","17","58",663
4,"4a47f3a2-edd4-4a5e-9d16-7eee9d9ee338","6","50","220",1650
4,"f0417b08-07e8-4111-9bc0-d8f1a87fd230","35351","54","181","2189"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25346","36","98","1240"
1,"a9d455c4-ecc1-46b2-b0d2-2c94a0f1ee5a","10005","4","7",124
4,"4b994da8-3732-45fe-9545-b2c3e56effda","28544","12","44",312
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35600","35","115","1355"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","2610","17","58","400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24679","50","220","1600"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","27013.5","21","80","630"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14512","24","90",792
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10672","25","65","884"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6498","29","84","985"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12214","15","41","500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15650.2","28","96","998"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14115","33","75","1265"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15434","18","55","571"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9961","30","87",1110
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6900","20","48","664"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18455","25","48","630"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8964","29","90","1047"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4600","17","54","529"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10667","18","65","550"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33350","47","160","1700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4600","17","54","529"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12500","24","58","748"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12400","23","66","818"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10672","25","65","884"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11339","23","69","700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4050","13","54","508"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13340","28","100",672
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11467","24","76",744
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9400","17","53","540"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12900","25","47","650"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18100","42","150","1400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","80335","41","190",1189
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23345","19","68","778"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15656","31","127","1200"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10379","33","95","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","50692","67","175","2540"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20010","38","105","1500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24000","36","165",1116
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23345","19","68","778"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5118","18","68",504
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15995","30","109","1100"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","40687","37","181",1258
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9759","20","60","814"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24679","50","220","1600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15400","32","84",1216
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18009","26","67","1050"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14007","20","56","565"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26615","41","120","1500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12000","22","14","800"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14512","24","90",672
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","46690","26","122",650
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15300","18","39","636"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16008","24","95","762"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9341","22","110","860"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13439","16","76",352
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","1.91","20","110","700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17342","26","90","977"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12100","24","102","963"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25524","30","107",600
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18000","26","78","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18676","33","103",1056
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","5150","39","64","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13143","34","107","898"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21539","25","70","900"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29855","35","70","1300"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19300","31","112","1135"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24198","35","79","1385"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15650.2","28","96","998"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6900","16","46","588"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24679","40","125","1400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11472.4","15","46","500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30015","35","88","1400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17342","26","98",832
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","466","34","138","1350"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9800","24","89",936
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12634","29","96",870
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15434","18","55","571"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20500","39","89",1053
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20500","39","89",1443
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6877","22","68","794"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","4600","17","54","529"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25524","30","107",810
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18440","28","106",1064
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10091","30","89","848"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18209.1","44","115",1672
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","1.7","18","67","670"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17118","19","52","700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24000","25","133",625
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7314","18","49","728"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6430","10","26","218"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9350","26","71","706"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3341","11","39","308"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6467","15","45","450"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6414","16","42","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9350","25","70","710"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","6430","7","22",224
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29426","62","245","2400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18676","28","110","1000"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28480.9","27","92","700"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14207.1","39","120","1251"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13212","40","126",880
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12979","32","120","1309"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11339","18","54","692"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21410.7","36","126","1400"
