typeNameIndex,cityGuid,classCount,teacher,student
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","131",1368
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14","52",406
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14","42","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","83","800"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","73","815"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","70","650"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","45","160","1800"
0,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","14","47","560"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","37","130",1332
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","46","200",1288
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","12","76","271"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","61",760
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","110",560
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","56","589"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","9","44",279
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","34","138","1350"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","120","1300"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","66",608
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","41","500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","84","32","3000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","27","97","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","132",725
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","57","614"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","3","47",69
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19","70",494
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","104",1044
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","85",612
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10","43",270
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","74","790"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","110","300",4180
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","55","135","2087"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","96","657"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","90",336
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","34","131","1391"
1,"DLAF12AE1F-84A2-4276-98CD-3A2AA1AE7DA8","12","28","327"
4,"26f989b7-5b5c-4042-85df-31225c9ce4a4","17","58",663
4,"4a47f3a2-edd4-4a5e-9d16-7eee9d9ee338","50","220",1650
4,"f0417b08-07e8-4111-9bc0-d8f1a87fd230","54","181","2189"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","98","1240"
1,"a9d455c4-ecc1-46b2-b0d2-2c94a0f1ee5a","4","7",124
4,"4b994da8-3732-45fe-9545-b2c3e56effda","12","44",312
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35","115","1355"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","58","400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","50","220","1600"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","21","80","630"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","90",792
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","65","884"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","84","985"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","41","500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","96","998"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33","75","1265"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","55","571"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","87",1110
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","48","664"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","48","630"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","90","1047"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","54","529"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","65","550"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","47","160","1700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","54","529"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","58","748"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","66","818"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","65","884"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","23","69","700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","13","54","508"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","100",672
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","76",744
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","53","540"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","47","650"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","42","150","1400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","41","190",1189
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19","68","778"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31","127","1200"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33","95","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","67","175","2540"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","38","105","1500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","165",1116
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19","68","778"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","68",504
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","109","1100"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","37","181",1258
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","60","814"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","50","220","1600"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","84",1216
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","67","1050"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","56","565"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","41","120","1500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","14","800"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","90",672
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","122",650
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","39","636"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","95","762"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","110","860"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","76",352
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","110","700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","90","977"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","102","963"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","107",600
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","78","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","33","103",1056
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","39","64","1000"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","34","107","898"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","70","900"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35","70","1300"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31","112","1135"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35","79","1385"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","96","998"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","46","588"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","40","125","1400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","46","500"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","35","88","1400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","98",832
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","34","138","1350"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","24","89",936
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","96",870
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","55","571"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","39","89",1053
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","39","89",1443
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","68","794"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","54","529"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","107",810
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","106",1064
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","30","89","848"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","44","115",1672
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","67","670"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","19","52","700"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","133",625
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","49","728"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","10","26","218"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","71","706"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","11","39","308"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","15","45","450"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","42","400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","70","710"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","7","22",224
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","62","245","2400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","110","1000"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","27","92","700"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","39","120","1251"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","40","126",880
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","120","1309"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","54","692"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","126","1400"
1,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","79","851"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","31","112","1135"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","40","170","1500"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","29","155",1131
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","120","1309"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","8","40","300"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","28","114","800"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","48","203","1400"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","74","650"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","88",676
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","62","250",1798
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","26","78","1000"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","165",936
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","41","120","1500"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","130",1056
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","20","70","780"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","25","77","1000"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","17","72",425
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","40","126","1500"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","40","126","1500"
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","178",1188
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","130",864
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","37","160",1221
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","32","138",704
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","36","147",1368
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","16","60",480
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","22","87",682
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","18","114",594
4,"SH-09B18548-7FE1-4853-82B7-274010BBEA76","38","120","1500"
